Title,Price,Rating,Availability,Product_URL
A Light in the Attic,51.77,3,In stock,a-light-in-the-attic_1000/index.html
Tipping the Velvet,53.74,1,In stock,tipping-the-velvet_999/index.html
Soumission,50.1,1,In stock,soumission_998/index.html
Sharp Objects,47.82,4,In stock,sharp-objects_997/index.html
Sapiens: A Brief History of Humankind,54.23,5,In stock,sapiens-a-brief-history-of-humankind_996/index.html
The Requiem Red,22.65,1,In stock,the-requiem-red_995/index.html
The Dirty Little Secrets of Getting Your Dream Job,33.34,4,In stock,the-dirty-little-secrets-of-getting-your-dream-job_994/index.html
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",17.93,3,In stock,the-coming-woman-a-novel-based-on-the-life-of-the-infamous-feminist-victoria-woodhull_993/index.html
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,22.6,4,In stock,the-boys-in-the-boat-nine-americans-and-their-epic-quest-for-gold-at-the-1936-berlin-olympics_992/index.html
The Black Maria,52.15,1,In stock,the-black-maria_991/index.html
"Starving Hearts (Triangular Trade Trilogy, #1)",13.99,2,In stock,starving-hearts-triangular-trade-trilogy-1_990/index.html
Shakespeare's Sonnets,20.66,4,In stock,shakespeares-sonnets_989/index.html
Set Me Free,17.46,5,In stock,set-me-free_988/index.html
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),52.29,5,In stock,scott-pilgrims-precious-little-life-scott-pilgrim-1_987/index.html
Rip it Up and Start Again,35.02,5,In stock,rip-it-up-and-start-again_986/index.html
"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",57.25,3,In stock,our-band-could-be-your-life-scenes-from-the-american-indie-underground-1981-1991_985/index.html
Olio,23.88,1,In stock,olio_984/index.html
Mesaerion: The Best Science Fiction Stories 1800-1849,37.59,1,In stock,mesaerion-the-best-science-fiction-stories-1800-1849_983/index.html
Libertarianism for Beginners,51.33,2,In stock,libertarianism-for-beginners_982/index.html
It's Only the Himalayas,45.17,2,In stock,its-only-the-himalayas_981/index.html
In Her Wake,12.84,1,In stock,in-her-wake_980/index.html
How Music Works,37.32,2,In stock,how-music-works_979/index.html
"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More",30.52,3,In stock,foolproof-preserving-a-guide-to-small-batch-jams-jellies-pickles-condiments-and-more-a-foolproof-guide-to-making-small-batch-jams-jellies-pickles-condiments-and-more_978/index.html
Chase Me (Paris Nights #2),25.27,5,In stock,chase-me-paris-nights-2_977/index.html
Black Dust,34.53,5,In stock,black-dust_976/index.html
Birdsong: A Story in Pictures,54.64,3,In stock,birdsong-a-story-in-pictures_975/index.html
America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana,22.5,3,In stock,americas-cradle-of-quarterbacks-western-pennsylvanias-football-factory-from-johnny-unitas-to-joe-montana_974/index.html
Aladdin and His Wonderful Lamp,53.13,3,In stock,aladdin-and-his-wonderful-lamp_973/index.html
Worlds Elsewhere: Journeys Around Shakespeareâs Globe,40.3,5,In stock,worlds-elsewhere-journeys-around-shakespeares-globe_972/index.html
Wall and Piece,44.18,4,In stock,wall-and-piece_971/index.html
The Four Agreements: A Practical Guide to Personal Freedom,17.66,5,In stock,the-four-agreements-a-practical-guide-to-personal-freedom_970/index.html
The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,31.05,3,In stock,the-five-love-languages-how-to-express-heartfelt-commitment-to-your-mate_969/index.html
The Elephant Tree,23.82,5,In stock,the-elephant-tree_968/index.html
The Bear and the Piano,36.89,1,In stock,the-bear-and-the-piano_967/index.html
Sophie's World,15.94,5,In stock,sophies-world_966/index.html
Penny Maybe,33.29,3,In stock,penny-maybe_965/index.html
Maude (1883-1993):She Grew Up with the country,18.02,2,In stock,maude-1883-1993she-grew-up-with-the-country_964/index.html
"In a Dark, Dark Wood",19.63,1,In stock,in-a-dark-dark-wood_963/index.html
Behind Closed Doors,52.22,4,In stock,behind-closed-doors_962/index.html
You can't bury them all: Poems,33.63,2,In stock,you-cant-bury-them-all-poems_961/index.html
Slow States of Collapse: Poems,57.31,3,In stock,slow-states-of-collapse-poems_960/index.html
Reasons to Stay Alive,26.41,2,In stock,reasons-to-stay-alive_959/index.html
Private Paris (Private #10),47.61,5,In stock,private-paris-private-10_958/index.html
#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.,23.11,5,In stock,higherselfie-wake-up-your-life-free-your-soul-find-your-tribe_957/index.html
Without Borders (Wanderlove #1),45.07,2,In stock,without-borders-wanderlove-1_956/index.html
When We Collided,31.77,1,In stock,when-we-collided_955/index.html
"We Love You, Charlie Freeman",50.27,5,In stock,we-love-you-charlie-freeman_954/index.html
Untitled Collection: Sabbath Poems 2014,14.27,4,In stock,untitled-collection-sabbath-poems-2014_953/index.html
"Unseen City: The Majesty of Pigeons, the Discreet Charm of Snails & Other Wonders of the Urban Wilderness",44.18,4,In stock,unseen-city-the-majesty-of-pigeons-the-discreet-charm-of-snails-other-wonders-of-the-urban-wilderness_952/index.html
Unicorn Tracks,18.78,3,In stock,unicorn-tracks_951/index.html
"Unbound: How Eight Technologies Made Us Human, Transformed Society, and Brought Our World to the Brink",25.52,1,In stock,unbound-how-eight-technologies-made-us-human-transformed-society-and-brought-our-world-to-the-brink_950/index.html
Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2),16.28,1,In stock,tsubasa-world-chronicle-2-tsubasa-world-chronicle-2_949/index.html
Throwing Rocks at the Google Bus: How Growth Became the Enemy of Prosperity,31.12,3,In stock,throwing-rocks-at-the-google-bus-how-growth-became-the-enemy-of-prosperity_948/index.html
This One Summer,19.49,4,In stock,this-one-summer_947/index.html
Thirst,17.27,5,In stock,thirst_946/index.html
The Torch Is Passed: A Harding Family Story,19.09,1,In stock,the-torch-is-passed-a-harding-family-story_945/index.html
The Secret of Dreadwillow Carse,56.13,1,In stock,the-secret-of-dreadwillow-carse_944/index.html
"The Pioneer Woman Cooks: Dinnertime: Comfort Classics, Freezer Food, 16-Minute Meals, and Other Delicious Ways to Solve Supper!",56.41,1,In stock,the-pioneer-woman-cooks-dinnertime-comfort-classics-freezer-food-16-minute-meals-and-other-delicious-ways-to-solve-supper_943/index.html
The Past Never Ends,56.5,4,In stock,the-past-never-ends_942/index.html
The Natural History of Us (The Fine Art of Pretending #2),45.22,3,In stock,the-natural-history-of-us-the-fine-art-of-pretending-2_941/index.html
The Nameless City (The Nameless City #1),38.16,4,In stock,the-nameless-city-the-nameless-city-1_940/index.html
The Murder That Never Was (Forensic Instincts #5),54.11,3,In stock,the-murder-that-never-was-forensic-instincts-5_939/index.html
The Most Perfect Thing: Inside (and Outside) a Bird's Egg,42.96,4,In stock,the-most-perfect-thing-inside-and-outside-a-birds-egg_938/index.html
"The Mindfulness and Acceptance Workbook for Anxiety: A Guide to Breaking Free from Anxiety, Phobias, and Worry Using Acceptance and Commitment Therapy",23.89,4,In stock,the-mindfulness-and-acceptance-workbook-for-anxiety-a-guide-to-breaking-free-from-anxiety-phobias-and-worry-using-acceptance-and-commitment-therapy_937/index.html
The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,16.77,3,In stock,the-life-changing-magic-of-tidying-up-the-japanese-art-of-decluttering-and-organizing_936/index.html
